KMgF3,0.0,21.9558147
KMgF3,10.0,21.9557748
KMgF3,20.0,21.9544893
KMgF3,30.0,21.9460393
KMgF3,40.0,21.918498
KMgF3,50.0,21.8591673
KMgF3,60.0,21.7582132
KMgF3,70.0,21.6089775
KMgF3,80.0,21.4072376
KMgF3,90.0,21.150468
KMgF3,100.0,20.8373077
KMgF3,110.0,20.4672057
KMgF3,120.0,20.0401844
KMgF3,130.0,19.5566764
KMgF3,140.0,19.0174091
KMgF3,150.0,18.4233189
KMgF3,160.0,17.775487
KMgF3,170.0,17.0750915
KMgF3,180.0,16.3233696
KMgF3,190.0,15.5215903
KMgF3,200.0,14.6710333
KMgF3,210.0,13.772973
KMgF3,220.0,12.828667
KMgF3,230.0,11.8393482
KMgF3,240.0,10.8062185
KMgF3,250.0,9.7304451
KMgF3,260.0,8.6131579
KMgF3,270.0,7.4554483
KMgF3,280.0,6.2583685
KMgF3,290.0,5.0229314
KMgF3,300.0,3.7501116
KMgF3,310.0,2.4408456
KMgF3,320.0,1.0960335
KMgF3,330.0,-0.2834605
KMgF3,340.0,-1.6968061
KMgF3,350.0,-3.1432061
KMgF3,360.0,-4.6218946
KMgF3,370.0,-6.132136
KMgF3,380.0,-7.6732232
KMgF3,390.0,-9.2444769
KMgF3,400.0,-10.8452437
KMgF3,410.0,-12.4748951
KMgF3,420.0,-14.1328265
KMgF3,430.0,-15.8184556
KMgF3,440.0,-17.5312219
KMgF3,450.0,-19.2705853
KMgF3,460.0,-21.036025
KMgF3,470.0,-22.827039
KMgF3,480.0,-24.6431427
KMgF3,490.0,-26.4838688
KMgF3,500.0,-28.3487655
KMgF3,510.0,-30.2373967
KMgF3,520.0,-32.1493407
KMgF3,530.0,-34.0841897
KMgF3,540.0,-36.0415495
KMgF3,550.0,-38.0210382
KMgF3,560.0,-40.0222862
KMgF3,570.0,-42.0449356
KMgF3,580.0,-44.0886393
KMgF3,590.0,-46.153061
KMgF3,600.0,-48.2378745
KMgF3,610.0,-50.3427634
KMgF3,620.0,-52.4674205
KMgF3,630.0,-54.6115475
KMgF3,640.0,-56.7748548
KMgF3,650.0,-58.9570608
KMgF3,660.0,-61.157892
KMgF3,670.0,-63.3770822
KMgF3,680.0,-65.6143727
KMgF3,690.0,-67.8695117
KMgF3,700.0,-70.1422541
KMgF3,710.0,-72.4323613
KMgF3,720.0,-74.7396007
KMgF3,730.0,-77.0637459
KMgF3,740.0,-79.4045763
KMgF3,750.0,-81.7618767
KMgF3,760.0,-84.1354372
KMgF3,770.0,-86.5250533
KMgF3,780.0,-88.9305252
KMgF3,790.0,-91.3516581
KMgF3,800.0,-93.7882616
KMgF3,810.0,-96.2401501
KMgF3,820.0,-98.707142
KMgF3,830.0,-101.1890601
KMgF3,840.0,-103.685731
KMgF3,850.0,-106.1969855
KMgF3,860.0,-108.7226579
KMgF3,870.0,-111.2625863
KMgF3,880.0,-113.8166124
KMgF3,890.0,-116.384581
KMgF3,900.0,-118.9663406
KMgF3,910.0,-121.5617427
KMgF3,920.0,-124.170642
KMgF3,930.0,-126.792896
KMgF3,940.0,-129.4283655
KMgF3,950.0,-132.0769139
KMgF3,960.0,-134.7384073
KMgF3,970.0,-137.4127145
KMgF3,980.0,-140.0997071
KMgF3,990.0,-142.7992591
KMgF3,1000.0,-145.5112467
