CsIO3,0.0,22.74215935
CsIO3,10.0,22.74016195
CsIO3,20.0,22.7048535
CsIO3,30.0,22.58693555
CsIO3,40.0,22.36560385
CsIO3,50.0,22.0386768
CsIO3,60.0,21.61073835
CsIO3,70.0,21.0881421
CsIO3,80.0,20.47719665
CsIO3,90.0,19.78364055
CsIO3,100.0,19.0125736
CsIO3,110.0,18.1685179
CsIO3,120.0,17.2554976
CsIO3,130.0,16.2771097
CsIO3,140.0,15.236582
CsIO3,150.0,14.13682165
CsIO3,160.0,12.98045585
CsIO3,170.0,11.7698676
CsIO3,180.0,10.5072264
CsIO3,190.0,9.1945154
CsIO3,200.0,7.8335549
CsIO3,210.0,6.4260224
CsIO3,220.0,4.9734705
CsIO3,230.0,3.4773413
CsIO3,240.0,1.93897965
CsIO3,250.0,0.35964385
CsIO3,260.0,-1.2594851
CsIO3,270.0,-2.9172954
CsIO3,280.0,-4.6127376
CsIO3,290.0,-6.34481885
CsIO3,300.0,-8.1125977
CsIO3,310.0,-9.9151799
CsIO3,320.0,-11.7517141
CsIO3,330.0,-13.62138905
CsIO3,340.0,-15.5234302
CsIO3,350.0,-17.4570971
CsIO3,360.0,-19.42168125
CsIO3,370.0,-21.41650385
CsIO3,380.0,-23.4409138
CsIO3,390.0,-25.49428625
CsIO3,400.0,-27.5760207
CsIO3,410.0,-29.68553985
CsIO3,420.0,-31.82228805
CsIO3,430.0,-33.9857303
CsIO3,440.0,-36.17535105
CsIO3,450.0,-38.3906532
CsIO3,460.0,-40.631157
CsIO3,470.0,-42.89639945
CsIO3,480.0,-45.18593325
CsIO3,490.0,-47.49932605
CsIO3,500.0,-49.8361599
CsIO3,510.0,-52.1960303
CsIO3,520.0,-54.5785459
CsIO3,530.0,-56.98332755
CsIO3,540.0,-59.4100081
CsIO3,550.0,-61.8582316
CsIO3,560.0,-64.3276529
CsIO3,570.0,-66.8179373
CsIO3,580.0,-69.3287598
CsIO3,590.0,-71.85980515
CsIO3,600.0,-74.41076695
CsIO3,610.0,-76.98134765
CsIO3,620.0,-79.57125805
CsIO3,630.0,-82.180217
CsIO3,640.0,-84.80795095
CsIO3,650.0,-87.45419395
CsIO3,660.0,-90.118687
CsIO3,670.0,-92.80117805
CsIO3,680.0,-95.50142165
CsIO3,690.0,-98.2191786
CsIO3,700.0,-100.95421595
CsIO3,710.0,-103.7063066
CsIO3,720.0,-106.47522905
CsIO3,730.0,-109.2607674
CsIO3,740.0,-112.06271085
CsIO3,750.0,-114.88085395
CsIO3,760.0,-117.7149959
CsIO3,770.0,-120.56494085
CsIO3,780.0,-123.43049745
CsIO3,790.0,-126.3114788
CsIO3,800.0,-129.20770225
CsIO3,810.0,-132.1189894
CsIO3,820.0,-135.0451657
CsIO3,830.0,-137.98606065
CsIO3,840.0,-140.94150735
CsIO3,850.0,-143.91134265
CsIO3,860.0,-146.89540685
CsIO3,870.0,-149.89354375
CsIO3,880.0,-152.9056003
CsIO3,890.0,-155.93142685
CsIO3,900.0,-158.9708767
CsIO3,910.0,-162.0238062
CsIO3,920.0,-165.0900747
CsIO3,930.0,-168.1695443
CsIO3,940.0,-171.2620799
CsIO3,950.0,-174.36754905
CsIO3,960.0,-177.48582195
CsIO3,970.0,-180.6167712
CsIO3,980.0,-183.76027205
CsIO3,990.0,-186.9162019
CsIO3,1000.0,-190.0844407
