Name,X_EA,mean_A2B,X_Z,X_Rvdw,X_IEII,mean_X2X,A_Rvdw,mean_A2X,A_IEI,E_coh,A_ChiA,B_Hf,X_G,A_EA,std_A2X,A_ChiP,B_MP,std_B2X,OF,A_MP,B_Z,X_Kappa,A_Kappa,B_Kappa,B_Ra,A_Z,B_Rho,X_MV,A_CvM,A_G,B_EA,B_CvM,TF,std_X2X,A_B,std_A2B,B_ChiP,X_IEI,B_MV,B_IEI,Coeff_B
AlBiO3,-0.4490500668675767,-0.9303292421635466,-0.3622040571405643,-0.1589360970487678,0.5713558484042306,0.4748268634320361,-1.5179158956416772,-0.4149756705139152,0.8492769934426458,-5.699699148339683,2.8320957871252754,-0.4267956449833793,0.1875186870247729,0.2901597332117708,1.685227819887046,2.1891108443651186,-0.8763832949270711,0.3860634987261869,-0.640492302331146,0.5387772185931886,1.4518059747588838,-0.3674305556997124,3.0627026582967307,-1.0000545798004203,0.748870175543916,-1.242015554113184,0.2123579609237968,0.3591888364420176,0.3678798352173528,3.39240949459789,0.1218554188309823,-0.5890269308599383,-0.1806321307367866,1.738662742311038,0.7257069527487126,0.4315754405180604,0.2500902190218291,-0.1397270711479531,1.1881006331686277,-0.4754053470236032,0.6218264128133892
BaHfO3,-0.4490500668675767,-0.3694197453328227,-0.3622040571405643,-0.1589360970487678,0.5713558484042306,-0.8470350827048564,-0.0314112586973356,-0.6060703447521631,0.1778506041131008,-1.2151697631492056,0.0139497329697929,0.3350026010745977,0.1875186870247729,-1.314734030181664,-0.9990721113509434,-0.353595036567143,0.9718766467275072,-1.1221536505463567,0.0635850929701481,0.660890883587452,1.035788632594176,-0.3674305556997124,-0.9832997880948108,-0.8316221362947711,0.5356687020794559,0.9136522088279628,0.7939644081675696,0.3591888364420176,-0.5535232849294756,-0.1197320998093373,-0.9428964174674724,-0.5522167188634416,0.3137499095411862,-1.1928947500599572,-0.459120725208369,-0.7205654257996832,-1.1875541537982628,-0.1397270711479531,-0.1029163645410567,-0.8006503814886471,0.6354001575426919
BaLiF3,1.4123489357201058,-0.6362155695713592,-0.2662559625337923,-0.4466032410284384,0.5426881507425069,-1.1182576087331668,-0.0314112586973356,-0.8771903804860146,0.1778506041131008,0.1282058644004702,0.0139497329697929,-0.8104874917924983,0.4554025256315916,-1.314734030181664,-0.9990721113509434,-0.353595036567143,-0.9618521261401046,-1.1221536505463567,0.4194200945309803,0.660890883587452,-1.5737746955299,-0.3555324224381685,-0.9832997880948108,-0.1354347031380878,0.1092657551505357,0.9136522088279628,-1.3108577911353194,-1.653641031634246,-0.5535232849294756,-0.1197320998093373,-0.2470717525180437,5.200215501316378,0.208741388519333,-1.1928947500599572,-0.459120725208369,-0.7205654257996832,-1.8265072083849705,2.1225636079289667,-0.1718143491710526,-1.81316106801104,-0.3399320470128585
BaLiH3,-1.127913232517202,-0.676717434897744,-1.0338407193879684,-2.5753401064779977,,-1.1594314848762153,-0.0314112586973356,-0.918348697734484,0.1778506041131008,0.9666994870546702,0.0139497329697929,-0.8104874917924983,-3.830738892077508,-1.314734030181664,-0.9990721113509434,-0.353595036567143,-0.9618521261401046,-1.1221536505463567,0.3823541994142509,0.660890883587452,-1.5737746955299,1.2677129011010395,-0.9832997880948108,-0.1354347031380878,0.1092657551505357,0.9136522088279628,-1.3108577911353194,-1.581754250631522,-0.5535232849294756,-0.1197320998093373,-0.2470717525180437,5.200215501316378,0.1937820740720867,-1.1928947500599572,-0.459120725208369,-0.7205654257996832,-1.8265072083849705,-0.1513853228976509,-0.1718143491710526,-1.81316106801104,1.7396654930653517
BaSeO3,-0.4490500668675767,-0.2568838885608779,-0.3622040571405643,-0.1589360970487678,0.5713558484042306,-0.002596096942191,-0.0314112586973356,-0.7622682800387369,0.1778506041131008,-0.2492460930936852,0.0139497329697929,-0.6358239197809452,0.1875186870247729,-1.314734030181664,-0.699702008812623,-0.353595036567143,-0.9238712134932368,0.7913629763451508,-0.7813077813914052,0.660890883587452,-0.4013621857929964,-0.3674305556997124,-0.9832997880948108,-1.084046224961904,-1.1699430856362238,0.9136522088279628,-0.6050215248485423,0.3591888364420176,-0.5535232849294756,-0.1197320998093373,1.3337111272496185,-0.2560618314370808,1.1199337638935496,0.7109803400895165,-0.459120725208369,-0.4426395432174472,1.308356215681063,-0.1397270711479531,0.3859312406908191,1.2671911889785528,0.017871480138889007
BaTiO3,-0.4490500668675767,-0.6427051781433981,-0.3622040571405643,-0.1589360970487678,0.5713558484042306,-0.3878756888972581,-0.0314112586973356,-0.8176196486047016,0.1778506041131008,-0.7975872865209309,0.0139497329697929,-0.2827100316491875,0.1875186870247729,-1.314734030181664,-0.834523486001273,-0.353595036567143,0.4395220040710855,1.0282227202348933,-0.3588613442106287,0.660890883587452,-0.855199286336314,-0.3674305556997124,-0.9832997880948108,-0.8428509658618144,-0.1039357183139243,0.9136522088279628,-0.6564269672111648,0.3591888364420176,-0.5535232849294756,-0.1197320998093373,-0.8541670977759346,0.0835960338033216,0.6951923981733793,0.4769995592313337,-0.459120725208369,-0.5035264563540335,-0.7083393628582322,-0.1397270711479531,-0.5622362620743624,-0.7984958794902578,0.3232694135963262
CaCO3,-0.4490500668675767,-0.0876689386156013,-0.3622040571405643,-0.1589360970487678,0.5713558484042306,-0.5492577999307504,-0.6861811583037719,0.5308315437243128,0.9597716435019,-0.7121023953675566,0.6029884574039308,4.604556583579229,0.1875186870247729,-1.965685686227057,1.5674970445947736,0.0348739174641746,2.191110111501683,0.8382942173911012,-2.1492295779767767,0.8719696672089804,-1.460315420394071,-0.3674305556997124,2.41012161855616,0.4821509230492926,-3.088756346816363,-0.8910928950297415,-1.0254916816094797,0.3591888364420176,0.0354833272278765,-0.1197320998093373,0.85387230628617,0.3931364528647719,2.0168164798164576,0.3953974768501866,-0.459120725208369,1.895530957868219,1.308356215681063,-0.1397270711479531,-1.4398653520040718,2.332369913041244,1.1914723815527253
CaSnO3,-0.4490500668675767,-0.0523435479423183,-0.3622040571405643,-0.1589360970487678,0.5713558484042306,-0.5053382927496057,-0.6861811583037719,0.237680423593461,0.9597716435019,-0.2735563067076899,0.6029884574039308,-0.6140501411561988,0.1875186870247729,-1.965685686227057,1.3271812880185707,0.0348739174641746,-0.9134314091735322,1.142842047539956,-0.0168808950642855,0.8719696672089804,0.2037539482647604,-0.3674305556997124,2.41012161855616,-0.3375536353448668,0.1092657551505357,-0.8910928950297415,-0.1946017911136306,0.3591888364420176,0.0354833272278765,-0.1197320998093373,0.3098214776512138,-0.4133418281493853,-0.2707992495582557,-0.4022562299938637,-0.459120725208369,1.1724990543518627,0.1302865212868213,-0.1397270711479531,0.3646056740196294,-0.4341378038282253,0.536743902451105
CaTcN3,-1.782886785299392,0.5423399948163858,-0.4581521517473363,0.0136641893390344,-0.4814715471591844,0.3654899736611833,-0.6861811583037719,-0.1763102172254439,0.9597716435019,-0.8433022113570441,0.6029884574039308,0.6232684963456975,-0.0803651515820458,-1.965685686227057,0.6199460566395295,0.0348739174641746,0.9002678806356699,1.205352304461182,-0.709659983826498,0.8719696672089804,-0.0609843603855081,-0.3753980556516392,2.41012161855616,-0.5172149084175593,-0.3171371917783835,-0.8910928950297415,0.4957469380510742,-0.8890270882416395,0.0354833272278765,-0.1197320998093373,-0.3241261617238529,,0.0628864753721348,1.4497724125414326,-0.459120725208369,3.954205365751095,0.0104828235518135,0.4049529673745289,-0.8919623313750569,-0.479290514561682,0.8471972101633753
CaWN3,-1.782886785299392,-0.0977616261422565,-0.4581521517473363,0.0136641893390344,-0.4814715471591844,-0.2949859307202157,-0.6861811583037719,0.2043854051414731,0.9597716435019,-1.0377487872646376,0.6029884574039308,1.523566908177605,-0.0803651515820458,-1.965685686227057,0.93272411084275,0.0348739174641746,2.0921769478221712,1.0689098107441468,-0.5608530196532306,0.8719696672089804,1.1114281493513956,-0.3753980556516392,2.41012161855616,0.819015810060591,-0.3171371917783835,-0.8910928950297415,1.772644945455958,-0.8890270882416395,0.0354833272278765,-0.1197320998093373,-0.025248453289199,-0.5722950163160762,-0.0701471639599362,0.8275763709757142,-0.459120725208369,0.662083607396017,0.9289778395202056,0.4049529673745289,-0.7541663621150652,-0.0667351696045343,0.762870038545565
